id,Class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7009,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0
5085,1,2,0,2,0,0,0,1,1,2,1,1,1,2,0,1,0,0,0,0,1,2,1
1417,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
6264,1,0,1,0,0,1,0,1,1,4,0,1,0,1,1,2,0,0,0,0,1,2,1
4786,1,0,2,3,0,2,0,1,0,5,1,1,1,1,2,2,0,0,0,2,2,2,0
4819,1,0,0,3,0,2,0,1,0,1,1,1,1,1,3,3,0,0,0,2,2,3,2
5916,0,0,2,4,1,0,0,1,0,6,1,1,0,0,0,0,0,0,1,0,1,4,3
3157,0,1,2,5,1,0,0,1,0,3,0,1,0,0,0,2,0,0,0,1,0,2,1
1765,1,1,1,1,1,3,0,1,1,3,1,0,0,0,0,0,0,0,0,1,3,1,4
6889,1,0,1,5,0,2,0,1,1,4,0,1,1,0,0,2,0,0,0,0,1,2,5
3630,1,1,0,3,0,2,0,1,0,1,1,1,1,1,2,1,0,0,0,2,2,3,2
2227,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0
4656,1,0,0,2,0,2,0,1,0,7,1,1,1,1,2,1,0,0,0,2,2,3,0
1520,0,1,2,1,1,4,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,1,0
3691,0,0,2,3,1,0,0,1,0,2,0,1,0,0,0,2,0,0,0,1,3,2,1
3737,1,1,0,3,0,2,0,1,0,7,1,1,1,1,1,1,0,0,0,2,2,2,1
7798,1,2,2,5,0,5,0,1,1,4,0,1,1,0,1,0,0,0,0,0,1,2,1
3540,0,1,2,0,1,0,0,1,0,2,0,1,0,0,4,2,0,0,0,1,3,3,1
5552,1,1,1,4,1,2,0,1,0,2,0,1,2,3,0,0,0,0,0,1,2,1,0
372,0,1,1,2,1,6,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,1,6
8034,0,2,1,0,0,0,1,1,0,3,1,1,0,0,5,4,0,1,0,1,4,4,5
8073,0,2,1,0,0,0,1,1,0,3,1,1,0,0,5,4,0,2,0,1,5,2,5
4644,1,0,2,3,0,2,0,1,0,1,1,1,1,1,1,2,0,0,0,2,2,3,2
7759,0,3,1,0,0,0,1,1,0,8,1,1,0,0,5,4,0,1,0,1,3,2,5
198,0,1,2,1,1,4,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,1,6
6626,1,1,1,0,0,1,0,1,1,4,0,1,0,1,1,0,0,0,0,0,1,2,1
222,0,1,2,2,1,6,0,1,0,3,1,3,0,2,0,0,0,0,0,1,3,1,0
7122,1,1,1,5,0,5,0,1,1,4,0,1,0,0,1,0,0,0,0,0,1,2,1
5864,1,1,2,5,0,1,0,1,1,4,0,1,0,1,1,2,0,0,0,0,1,2,2
1836,0,1,2,0,1,0,0,1,0,2,0,1,0,0,1,5,0,0,0,1,3,3,1
5543,1,0,2,2,0,2,0,1,0,1,1,1,1,1,2,1,0,0,0,2,2,3,0
882,0,1,2,1,1,6,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,5,0
780,0,1,2,2,1,6,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,1,6
715,0,3,2,2,1,6,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,1,6
1023,0,1,2,1,1,6,0,1,0,2,1,2,0,0,0,0,0,0,0,1,3,1,6
2161,0,1,0,5,1,0,0,1,0,7,0,1,0,0,4,0,0,0,0,1,3,3,1
